0,0.102
1,0.083
2,0.079
3,0.082
4,0.082
5,0.081
6,0.099
7,0.135
8,0.178
9,0.174
10,0.210
11,0.201
12,0.192
13,0.181
14,0.138
15,0.140
16,0.155
17,0.180
18,0.244
19,0.270
20,0.277
21,0.257
22,0.177
23,0.171
